Customer,How satisfied were you with your overall delivery experience at Ali?                    1-5 where 1 = extremely dissatisfied and 5 = extremely satisfied,How satisfied were you with the quality of the food at Alis?                             1-5 where 1 = extremely dissatisfied and 5 = extremely satisfied,How satisfied were you with the speed of delivery at Alis?                                1-5 where 1 = extremely dissatisfied and 5 = extremely satisfied,Was your order accurate? Please respond NO or no.
1,5,3,4,No
2,3,4,3,NO
3,4,5,2,NO
4,5,3,4,NO
5,2,5,1,NO
6,5,2,5,NO
7,1,4,3,NO
8,3,3,2,No
9,5,1,3,NO
10,3,5,3,No
11,5,3,4,NO
12,2,2,5,NO
13,4,5,3,No
14,3,4,2,NO
15,1,5,1,NO
16,5,4,5,NO
17,2,2,4,NO
18,4,5,4,No
19,5,1,5,NO
20,2,4,4,NO
21,5,5,1,NO
22,3,3,3,No
23,1,5,5,NO
24,5,4,4,NO
25,3,3,2,NO
26,2,3,4,NO
27,2,2,3,No
28,4,5,4,NO
29,4,1,2,NO
30,3,4,5,NO
31,5,5,4,NO
32,3,3,4,No
33,1,2,5,NO
34,5,5,1,NO
35,5,1,2,NO
36,2,3,3,NO
37,1,5,4,NO
38,5,4,3,NO
39,2,2,4,No
40,3,3,2,NO
41,5,5,5,NO
42,3,3,3,NO
43,4,4,4,NO
44,5,5,5,NO
45,2,2,2,NO
46,5,5,5,NO
47,1,1,1,NO
48,3,3,3,No
49,5,5,5,NO
50,3,3,3,No
51,5,5,5,NO
52,2,2,2,NO
53,4,4,4,No
54,3,3,3,NO
55,1,1,1,NO
56,5,5,5,NO
57,2,2,2,NO
58,4,4,4,No
59,5,5,5,NO
60,2,2,2,NO
61,5,5,5,NO
62,3,3,3,No
63,1,1,1,NO
64,5,5,5,NO
65,3,3,3,NO
66,2,2,2,NO
67,2,2,2,No
68,4,4,4,NO
69,4,4,4,NO
70,3,3,3,NO
71,5,5,5,NO
72,3,3,3,No
73,1,1,1,NO
74,5,5,5,NO
75,5,5,5,NO
76,2,2,2,NO
77,1,1,1,NO
78,5,5,5,NO
79,2,2,2,No
80,3,3,3,NO
81,5,5,5,NO
82,3,3,3,NO
83,4,4,4,NO
84,5,5,5,NO
85,2,2,2,NO
86,5,5,5,NO
87,1,1,1,NO
88,3,3,3,No
89,5,5,5,NO
90,3,3,3,No
91,5,5,5,NO
92,2,2,2,NO
93,4,4,4,No
94,3,3,3,NO
95,1,1,1,NO
96,5,5,5,NO
97,2,2,2,NO
98,4,4,4,No
99,5,5,5,NO
100,2,2,2,NO
101,5,5,5,NO
102,3,3,3,No
103,1,1,1,NO
104,5,5,5,NO
105,3,3,3,NO
106,2,2,2,NO
107,2,2,2,No
108,4,4,4,NO
109,4,4,4,NO
110,3,3,3,NO
111,5,5,5,NO
112,3,3,3,No
113,1,1,1,NO
114,5,5,5,NO
115,5,5,5,NO
116,2,2,2,NO
117,1,1,1,NO
118,5,5,5,NO
119,2,2,2,No
120,3,3,3,NO
121,5,5,5,NO
122,3,3,3,NO
123,4,4,4,NO
124,5,5,5,NO
125,2,2,2,NO
126,5,5,5,NO
127,1,1,1,NO
128,3,3,3,No
129,5,5,5,NO
130,3,3,3,No
131,5,5,5,NO
132,2,2,2,NO
133,4,4,4,No
134,3,3,3,NO
135,1,1,1,NO
136,5,5,5,NO
137,2,2,2,NO
138,4,4,4,No
139,5,5,5,NO
140,2,2,2,NO
141,5,5,5,NO
142,3,3,3,No
143,1,1,1,NO
144,5,5,5,NO
145,3,3,3,NO
146,2,2,2,NO
147,2,2,2,No
148,4,4,4,NO
149,4,4,4,NO
150,3,3,3,NO
151,5,5,5,NO
152,3,3,3,No
153,1,1,1,NO
154,5,5,5,NO
155,5,5,5,NO
156,2,2,2,NO
157,1,1,1,NO
158,5,5,5,NO
159,2,2,2,No
160,3,3,3,NO
161,5,5,5,NO
162,3,3,3,NO
163,4,4,4,NO
164,5,5,5,NO
165,2,2,2,NO
166,5,5,5,NO
167,1,1,1,NO
168,3,3,3,No
169,5,5,5,NO
170,3,3,3,No
171,5,5,5,NO
172,2,2,2,NO
173,4,4,4,No
174,3,3,3,NO
175,1,1,1,NO
176,5,5,5,NO
177,2,2,2,NO
178,4,4,4,No
179,5,5,5,NO
180,2,2,2,NO
181,5,5,5,NO
182,3,3,3,No
183,1,1,1,NO
184,5,5,5,NO
185,3,3,3,NO
186,2,2,2,NO
187,2,2,2,No
188,4,4,4,NO
189,4,4,4,NO
190,3,3,3,NO
191,5,5,5,NO
192,3,3,3,No
193,1,1,1,NO
194,5,5,5,NO
195,5,5,5,NO
196,2,2,2,NO
197,1,1,1,NO
198,5,5,5,NO
199,2,2,2,No
200,3,3,3,NO
201,5,5,5,NO
202,3,3,3,NO
203,4,4,4,NO
204,5,5,5,NO
